Date,Open,High,Low,Close,Volume
11-12-1995,1.2653,1.2677,1.2294,1.2361,31138072
12-12-1995,1.2361,1.2361,1.2167,1.2167,49516682
13-12-1995,1.2241,1.2485,1.1768,1.2294,191007669
14-12-1995,1.2446,1.2614,1.2167,1.2241,93008173
15-12-1995,1.1371,1.1718,1.1014,1.1283,202714512
18-12-1995,1.1245,1.1283,1.0208,1.0322,185885140
19-12-1995,1.0486,1.0641,1.0322,1.0486,120160672
20-12-1995,1.0731,1.0757,1.0399,1.0438,101997569
21-12-1995,1.0486,1.0486,1.0132,1.0399,92833262
22-12-1995,1.0438,1.0526,1.0282,1.0322,65443376
26-12-1995,1.0399,1.0399,1.0167,1.027,38906185
27-12-1995,1.0282,1.0694,1.0208,1.0374,74898171
28-12-1995,1.0282,1.0486,1.0208,1.0245,69719432
29-12-1995,1.0245,1.0374,1.0132,1.0208,84818377
02-01-1996,1.0322,1.0322,1.0167,1.0282,38846848
03-01-1996,1.0245,1.0526,1.0208,1.0282,119873305
04-01-1996,1.0374,1.0374,1.0039,1.0105,83715786
05-01-1996,1.0132,1.0961,1.0039,1.0961,124361758
08-01-1996,1.1038,1.1371,1.0886,1.1078,33839897
09-01-1996,1.1078,1.1078,1.0486,1.0486,70059886
10-01-1996,1.0399,1.1128,1.0322,1.0961,101913236
11-01-1996,1.0438,1.1206,1.0374,1.1206,211041736
12-01-1996,1.1128,1.1128,1.0641,1.0847,112070838
15-01-1996,1.0807,1.1038,1.0694,1.0924,101257311
16-01-1996,1.1014,1.1128,1.0757,1.1065,98421172
17-01-1996,1.1014,1.1014,1.0807,1.0886,65930622
18-01-1996,1.0526,1.0694,0.972,1.0233,194768358
19-01-1996,0.9925,1.0167,0.9399,0.9565,231256962
22-01-1996,0.9526,0.9925,0.936,0.9758,139370135
23-01-1996,1.0807,1.0886,0.9925,1.0132,275616769
24-01-1996,1.0282,1.0322,1.0167,1.0322,182917841
25-01-1996,1.0167,1.0245,0.9644,0.9682,124158727
26-01-1996,0.972,1.0001,0.9171,0.9809,205188325
29-01-1996,0.9284,0.9526,0.9209,0.9321,92755146
30-01-1996,0.8644,0.9005,0.8591,0.8749,173700407
31-01-1996,0.8886,0.8966,0.8762,0.8847,91490152
01-02-1996,0.8809,0.9078,0.8809,0.9078,92880104
02-02-1996,0.9247,0.949,0.9209,0.936,155053172
05-02-1996,0.9502,0.9526,0.9284,0.936,88888283
06-02-1996,0.936,0.9604,0.936,0.949,63088250
07-02-1996,0.9526,0.9526,0.8886,0.9039,100488925
08-02-1996,0.8809,0.9005,0.8809,0.8926,73392656
09-02-1996,0.8926,0.9117,0.8847,0.8886,57362894
12-02-1996,0.9005,0.9117,0.8966,0.9078,54180058
13-02-1996,0.8966,0.9247,0.8926,0.9005,63725457
